id,name,category,price,stock,supplier
781,Pure Toilet Paper,Household,3982.54,6,Household Solutions Inc.
782,Pure Spinach,Produce,4190.97,121,Produce Solutions Inc.
783,Classic Shampoo,Personal Care,4943.78,82,Personal Care Solutions Inc.
784,Pure Disinfectant,Household,638.89,189,Household Solutions Inc.
785,Classic Soy Milk,Dairy,4336.16,55,Dairy Solutions Inc.
786,Gourmet Rice,Grains,1787.15,3,Grains Solutions Inc.
787,Premium Carrots,Produce,4166.02,76,Produce Solutions Inc.
788,Fresh Pizza,Frozen Foods,973.58,168,Frozen Foods Solutions Inc.
789,Organic Chocolate,Snacks,704.32,118,Snacks Solutions Inc.
790,Organic Gloves,Household,919.47,171,Household Solutions Inc.
791,Organic Flour,Grains,2878.77,80,Grains Solutions Inc.
792,Fresh Ice Cream,Frozen Foods,1356.62,95,Frozen Foods Solutions Inc.
793,Golden Trash Bags,Household,1537.38,193,Household Solutions Inc.
794,Gourmet Shampoo,Personal Care,3533.69,86,Personal Care Solutions Inc.
795,Premium Yogurt,Dairy,514.73,61,Dairy Solutions Inc.
796,Classic Pie,Bakery,897.75,43,Bakery Solutions Inc.
797,Spicy Bread,Grains,3749.15,6,Grains Solutions Inc.
798,Gourmet Margarine,Dairy,3912.15,15,Dairy Solutions Inc.
799,Pure Vegetables,Frozen Foods,3338.36,57,Frozen Foods Solutions Inc.
800,Sweet Donut,Bakery,632.23,195,Bakery Solutions Inc.
801,Spicy Chicken Nuggets,Frozen Foods,4444.48,98,Frozen Foods Solutions Inc.
802,Classic Chicken Nuggets,Frozen Foods,186.78,99,Frozen Foods Solutions Inc.
803,Classic Trash Bags,Household,3386.06,161,Household Solutions Inc.
804,Golden Bananas,Produce,4332.02,161,Produce Solutions Inc.
805,Instant Toilet Paper,Household,1257.23,194,Household Solutions Inc.
806,Gourmet Broccoli,Produce,4978.34,61,Produce Solutions Inc.
807,Classic Rice,Grains,1238.73,194,Grains Solutions Inc.
808,Pure Laptop,Electronics,4309.45,100,Electronics Solutions Inc.
809,Golden Brownie,Bakery,1410.16,122,Bakery Solutions Inc.
810,Organic Nuts,Snacks,534.35,103,Snacks Solutions Inc.
811,Fresh Baguette,Bakery,2875.97,176,Bakery Solutions Inc.
812,Instant Apples,Produce,3907.37,163,Produce Solutions Inc.
813,Premium Strawberries,Produce,1907.48,182,Produce Solutions Inc.
814,Gourmet Strawberries,Produce,3166.38,72,Produce Solutions Inc.
815,Gourmet Pretzels,Snacks,3331.44,85,Snacks Solutions Inc.
816,Fresh Chocolate,Snacks,2389.1,185,Snacks Solutions Inc.
817,Pure Waffles,Frozen Foods,3447.75,3,Frozen Foods Solutions Inc.
818,Instant Vegetables,Frozen Foods,3604.06,122,Frozen Foods Solutions Inc.
819,Fresh Ice Cream,Frozen Foods,2482.81,91,Frozen Foods Solutions Inc.
820,Classic Toothpaste,Personal Care,1734.09,28,Personal Care Solutions Inc.
821,Golden Cookies,Snacks,46.84,15,Snacks Solutions Inc.
822,Premium Monitor,Electronics,1877.55,170,Electronics Solutions Inc.
823,Classic Nuts,Snacks,1380.22,52,Snacks Solutions Inc.
824,Golden Vegetables,Frozen Foods,4221.41,71,Frozen Foods Solutions Inc.
825,Premium Pasta,Grains,3527.76,112,Grains Solutions Inc.
826,Sweet Hair Gel,Personal Care,1168.49,99,Personal Care Solutions Inc.
827,Gourmet Toothpaste,Personal Care,4160.21,87,Personal Care Solutions Inc.
828,Gourmet Cookies,Snacks,4758.36,159,Snacks Solutions Inc.
829,Gourmet Water,Beverages,4507.6,142,Beverages Solutions Inc.
830,Premium Shampoo,Personal Care,4084.73,96,Personal Care Solutions Inc.
831,Premium Brownie,Bakery,2708.42,60,Bakery Solutions Inc.
832,Golden Fabric Softener,Household,225.59,184,Household Solutions Inc.
833,Golden Energy Drink,Beverages,3062.57,162,Beverages Solutions Inc.
834,Gourmet Quinoa,Grains,1847.71,99,Grains Solutions Inc.
835,Instant Soda,Beverages,4450.77,10,Beverages Solutions Inc.
836,Gourmet Sour Cream,Dairy,3643.44,47,Dairy Solutions Inc.
837,Premium Tortilla,Bakery,4560.25,129,Bakery Solutions Inc.
838,Classic Juice,Beverages,1490.46,198,Beverages Solutions Inc.
839,Organic Cottage Cheese,Dairy,4030.33,100,Dairy Solutions Inc.
840,Classic Potatoes,Produce,2659.65,133,Produce Solutions Inc.
841,Fresh Margarine,Dairy,4935.29,109,Dairy Solutions Inc.
842,Sweet Smartphone,Electronics,4050.6,169,Electronics Solutions Inc.
843,Spicy Soy Milk,Dairy,3702.47,173,Dairy Solutions Inc.
844,Classic Carrots,Produce,2110.59,78,Produce Solutions Inc.
845,Sweet Rice Cakes,Snacks,2541.46,116,Snacks Solutions Inc.
846,Fresh Chicken Nuggets,Frozen Foods,4164.35,129,Frozen Foods Solutions Inc.
847,Classic Shampoo,Personal Care,1653.98,167,Personal Care Solutions Inc.
848,Pure Lentils,Grains,3394.49,57,Grains Solutions Inc.
849,Gourmet Shampoo,Personal Care,664.63,19,Personal Care Solutions Inc.
850,Fresh Watch,Electronics,2852.31,5,Electronics Solutions Inc.
851,Organic Baguette,Bakery,2324.99,74,Bakery Solutions Inc.
852,Pure Cereal,Grains,4333.46,182,Grains Solutions Inc.
853,Fresh Watch,Electronics,971.27,189,Electronics Solutions Inc.
854,Fresh Sponge,Household,2804.05,196,Household Solutions Inc.
855,Premium Camera,Electronics,2330.76,126,Electronics Solutions Inc.
856,Sweet Speaker,Electronics,3292.15,68,Electronics Solutions Inc.
857,Sweet Laptop,Electronics,3665.95,99,Electronics Solutions Inc.
858,Golden Flour,Grains,3266.49,157,Grains Solutions Inc.
859,Organic Grapes,Produce,1184.71,194,Produce Solutions Inc.
860,Sweet Pizza,Frozen Foods,895.24,47,Frozen Foods Solutions Inc.
861,Organic Toothpaste,Personal Care,1662.48,98,Personal Care Solutions Inc.
862,Instant Detergent,Household,1013.2,89,Household Solutions Inc.
863,Organic Iced Tea,Beverages,4263.69,193,Beverages Solutions Inc.
864,Instant Vegetables,Frozen Foods,3312.66,175,Frozen Foods Solutions Inc.
865,Fresh Cleaner,Household,1388.75,77,Household Solutions Inc.
866,Spicy Coconut Water,Beverages,1674.54,73,Beverages Solutions Inc.
867,Instant Laptop,Electronics,3362.45,109,Electronics Solutions Inc.
868,Fresh Tablet,Electronics,3278.0,156,Electronics Solutions Inc.
869,Classic Fruit Bar,Snacks,95.17,185,Snacks Solutions Inc.
870,Golden Paper Towel,Household,4895.95,5,Household Solutions Inc.
871,Sweet Cereal,Grains,4876.35,156,Grains Solutions Inc.
872,Spicy Beans,Grains,2321.78,198,Grains Solutions Inc.
873,Golden Cereal,Grains,3804.46,194,Grains Solutions Inc.
874,Golden Quinoa,Grains,3073.98,26,Grains Solutions Inc.
875,Instant Coffee,Beverages,2492.39,107,Beverages Solutions Inc.
876,Sweet Water,Beverages,309.36,153,Beverages Solutions Inc.
877,Instant Toilet Paper,Household,1562.1,6,Household Solutions Inc.
878,Organic Chips,Snacks,4055.49,106,Snacks Solutions Inc.
879,Sweet Potatoes,Produce,4882.26,68,Produce Solutions Inc.
880,Instant Vegetables,Frozen Foods,4195.19,196,Frozen Foods Solutions Inc.
881,Fresh Cream,Dairy,840.13,78,Dairy Solutions Inc.
882,Fresh Croissant,Bakery,4227.71,188,Bakery Solutions Inc.
883,Instant Apples,Produce,3301.54,14,Produce Solutions Inc.
884,Instant Pretzels,Snacks,3834.96,156,Snacks Solutions Inc.
885,Spicy Mouthwash,Personal Care,3161.85,175,Personal Care Solutions Inc.
886,Instant Donut,Bakery,1347.55,182,Bakery Solutions Inc.
887,Classic Iced Tea,Beverages,3011.96,87,Beverages Solutions Inc.
888,Spicy Brownie,Bakery,1000.18,149,Bakery Solutions Inc.
889,Organic Grapes,Produce,4094.85,8,Produce Solutions Inc.
890,Fresh Soap,Household,4218.66,160,Household Solutions Inc.
891,Gourmet Toothpaste,Personal Care,4260.28,71,Personal Care Solutions Inc.
892,Classic Rice Cakes,Snacks,2950.05,153,Snacks Solutions Inc.
893,Pure Butter,Dairy,2732.57,168,Dairy Solutions Inc.
894,Sweet Sunscreen,Personal Care,1651.35,98,Personal Care Solutions Inc.
895,Instant Pasta,Grains,3766.19,11,Grains Solutions Inc.
896,Pure Bread,Grains,3057.75,39,Grains Solutions Inc.
897,Instant Crackers,Snacks,1716.62,47,Snacks Solutions Inc.
898,Classic Tea,Beverages,3285.54,122,Beverages Solutions Inc.
899,Organic Hair Gel,Personal Care,2600.7,0,Personal Care Solutions Inc.
900,Gourmet Watch,Electronics,1133.73,7,Electronics Solutions Inc.
901,Spicy Fish Sticks,Frozen Foods,2888.15,34,Frozen Foods Solutions Inc.
902,Instant Soap,Personal Care,1032.34,118,Personal Care Solutions Inc.
903,Gourmet Speaker,Electronics,4111.56,3,Electronics Solutions Inc.
904,Organic Muffin,Bakery,3258.45,75,Bakery Solutions Inc.
905,Spicy Grapes,Produce,1960.96,200,Produce Solutions Inc.
906,Premium Crackers,Snacks,101.15,40,Snacks Solutions Inc.
907,Organic Ice Cream,Frozen Foods,3666.24,63,Frozen Foods Solutions Inc.
908,Sweet Laptop,Electronics,4450.82,191,Electronics Solutions Inc.
909,Golden Crackers,Snacks,4036.34,135,Snacks Solutions Inc.
910,Pure Cheese,Dairy,1101.4,80,Dairy Solutions Inc.
911,Organic Baguette,Bakery,1282.1,2,Bakery Solutions Inc.
912,Sweet Toothpaste,Personal Care,926.65,73,Personal Care Solutions Inc.
913,Spicy Lotion,Personal Care,706.46,134,Personal Care Solutions Inc.
914,Golden Lotion,Personal Care,3880.89,131,Personal Care Solutions Inc.
915,Classic Hair Gel,Personal Care,2914.27,127,Personal Care Solutions Inc.
916,Spicy Chocolate,Snacks,1564.61,73,Snacks Solutions Inc.
917,Golden Pizza,Frozen Foods,4079.19,115,Frozen Foods Solutions Inc.
918,Sweet Cleaner,Household,4078.07,182,Household Solutions Inc.
919,Sweet Apples,Produce,1238.75,31,Produce Solutions Inc.
920,Instant Butter,Dairy,2398.77,24,Dairy Solutions Inc.
921,Pure Keyboard,Electronics,3144.15,66,Electronics Solutions Inc.
922,Pure Nuts,Snacks,1219.95,89,Snacks Solutions Inc.
923,Gourmet Iced Tea,Beverages,2788.94,194,Beverages Solutions Inc.
924,Premium Soap,Household,4919.01,99,Household Solutions Inc.
925,Spicy Flour,Grains,1724.74,184,Grains Solutions Inc.
926,Instant Lotion,Personal Care,2281.96,139,Personal Care Solutions Inc.
927,Classic Crackers,Snacks,2314.55,119,Snacks Solutions Inc.
928,Pure Lotion,Personal Care,155.43,76,Personal Care Solutions Inc.
929,Organic Fish Sticks,Frozen Foods,1598.74,77,Frozen Foods Solutions Inc.
930,Organic Soap,Personal Care,1176.99,30,Personal Care Solutions Inc.
931,Instant Keyboard,Electronics,1448.81,32,Electronics Solutions Inc.
932,Sweet Mouse,Electronics,1335.57,121,Electronics Solutions Inc.
933,Instant Soap,Household,1965.78,127,Household Solutions Inc.
934,Gourmet Burrito,Frozen Foods,1244.26,57,Frozen Foods Solutions Inc.
935,Golden Bagel,Bakery,1415.9,119,Bakery Solutions Inc.
936,Instant Speaker,Electronics,2501.73,44,Electronics Solutions Inc.
937,Premium Eggs,Dairy,3341.05,10,Dairy Solutions Inc.
938,Gourmet Onions,Produce,422.82,121,Produce Solutions Inc.
939,Pure Rice Cakes,Snacks,3670.47,59,Snacks Solutions Inc.
940,Spicy Chicken Nuggets,Frozen Foods,293.07,164,Frozen Foods Solutions Inc.
941,Organic Cookies,Snacks,2799.77,45,Snacks Solutions Inc.
942,Premium Cream,Dairy,2649.14,106,Dairy Solutions Inc.
943,Gourmet Lemonade,Beverages,41.35,158,Beverages Solutions Inc.
944,Sweet Donut,Bakery,645.62,55,Bakery Solutions Inc.
945,Golden Cake,Bakery,3822.5,10,Bakery Solutions Inc.
946,Organic Potatoes,Produce,1351.56,83,Produce Solutions Inc.
947,Gourmet Berries,Frozen Foods,4190.16,156,Frozen Foods Solutions Inc.
948,Golden Sponge,Household,4422.77,33,Household Solutions Inc.
949,Golden Watch,Electronics,2472.02,14,Electronics Solutions Inc.
950,Organic Disinfectant,Household,3147.27,200,Household Solutions Inc.
951,Sweet Cream,Dairy,3876.55,193,Dairy Solutions Inc.
952,Gourmet Beans,Grains,1909.61,86,Grains Solutions Inc.
953,Gourmet Energy Drink,Beverages,525.39,115,Beverages Solutions Inc.
954,Organic Dumplings,Frozen Foods,1205.27,5,Frozen Foods Solutions Inc.
955,Sweet Monitor,Electronics,3789.75,82,Electronics Solutions Inc.
956,Sweet Strawberries,Produce,249.33,148,Produce Solutions Inc.
957,Gourmet Energy Drink,Beverages,3603.04,8,Beverages Solutions Inc.
958,Spicy Hair Gel,Personal Care,1894.42,138,Personal Care Solutions Inc.
959,Spicy Juice,Beverages,627.16,63,Beverages Solutions Inc.
960,Spicy Detergent,Household,3072.59,89,Household Solutions Inc.
961,Sweet Iced Tea,Beverages,4524.5,187,Beverages Solutions Inc.
962,Organic Iced Tea,Beverages,2194.53,88,Beverages Solutions Inc.
963,Spicy Grapes,Produce,1558.81,108,Produce Solutions Inc.
964,Classic Energy Bar,Snacks,3777.66,11,Snacks Solutions Inc.
965,Sweet Barley,Grains,488.63,119,Grains Solutions Inc.
966,Premium Sponge,Household,286.62,41,Household Solutions Inc.
967,Organic Rice Cakes,Snacks,3846.33,46,Snacks Solutions Inc.
968,Premium Pasta,Grains,3259.49,157,Grains Solutions Inc.
969,Organic Mouthwash,Personal Care,1562.65,16,Personal Care Solutions Inc.
970,Spicy Beans,Grains,4857.05,189,Grains Solutions Inc.
971,Spicy Barley,Grains,3728.66,154,Grains Solutions Inc.
972,Golden Headphones,Electronics,1525.24,95,Electronics Solutions Inc.
973,Pure Keyboard,Electronics,3482.62,63,Electronics Solutions Inc.
974,Gourmet Detergent,Household,1471.81,130,Household Solutions Inc.
975,Gourmet Fabric Softener,Household,1320.75,65,Household Solutions Inc.
976,Gourmet Butter,Dairy,2713.1,34,Dairy Solutions Inc.
977,Spicy Shaving Cream,Personal Care,2072.05,60,Personal Care Solutions Inc.
978,Premium Crackers,Snacks,3771.76,178,Snacks Solutions Inc.
979,Sweet Baguette,Bakery,4722.89,6,Bakery Solutions Inc.
980,Pure Vegetables,Frozen Foods,4466.06,128,Frozen Foods Solutions Inc.
981,Sweet Camera,Electronics,2765.97,133,Electronics Solutions Inc.
982,Golden Chicken Nuggets,Frozen Foods,3329.32,32,Frozen Foods Solutions Inc.
983,Instant Ice Cream,Frozen Foods,3727.48,65,Frozen Foods Solutions Inc.
984,Fresh Coconut Water,Beverages,984.83,77,Beverages Solutions Inc.
985,Classic Chips,Snacks,3081.23,158,Snacks Solutions Inc.
986,Organic Brownie,Bakery,287.18,33,Bakery Solutions Inc.
987,Instant Tea,Beverages,1080.03,28,Beverages Solutions Inc.
988,Fresh Pasta,Grains,1253.69,147,Grains Solutions Inc.
989,Golden Lentils,Grains,4198.44,101,Grains Solutions Inc.
990,Instant Milk,Dairy,2320.38,32,Dairy Solutions Inc.
991,Pure Fries,Frozen Foods,2870.03,64,Frozen Foods Solutions Inc.
992,Fresh Headphones,Electronics,1935.17,197,Electronics Solutions Inc.
993,Organic Spinach,Produce,356.9,123,Produce Solutions Inc.
994,Spicy Sourdough,Bakery,957.04,85,Bakery Solutions Inc.
995,Spicy Tea,Beverages,2595.08,28,Beverages Solutions Inc.
996,Gourmet Keyboard,Electronics,1482.63,100,Electronics Solutions Inc.
997,Fresh Potatoes,Produce,3776.99,121,Produce Solutions Inc.
998,Golden Bananas,Produce,3209.26,67,Produce Solutions Inc.
999,Pure Headphones,Electronics,2531.88,41,Electronics Solutions Inc.
1000,Instant Fish Sticks,Frozen Foods,1258.43,158,Frozen Foods Solutions Inc.
